speciesKey,obs_count,species
5376075,257,Alliaria petiolata
3084015,249,Phytolacca americana
2888353,210,Monotropa uniflora
2883005,209,Kalmia latifolia
3042291,201,Hesperis matronalis
3170247,200,Asclepias syriaca
5350005,197,Coronilla varia
5338762,197,Mitchella repens
3033839,196,Podophyllum peltatum
7902463,189,Lonicera maackii
5284982,186,Pinus strobus
2891774,174,Impatiens capensis
2888304,173,Chimaphila maculata
3033114,173,Thalictrum thalictroides
2870117,173,Symplocarpus foetidus
3149879,162,Tussilago farfara
5334192,162,Sanguinaria canadensis
3190538,160,Rhus typhina
3003244,159,Rosa multiflora
3039267,156,Elaeagnus umbellata
5392252,155,Cichorium intybus
7808016,152,Geranium maculatum
2687182,150,Tsuga canadensis
2820380,150,Cypripedium acaule
3034742,144,Daucus carota
3172296,144,Ligustrum obtusifolium
2932737,142,Solanum dulcamara
3033896,142,Berberis thunbergii
2769544,141,Maianthemum canadense
5358748,141,Trifolium repens
2651098,140,Polystichum acrostichoides
2882753,136,Gaultheria procumbens
5400552,136,Ageratina altissima
5388967,132,Solidago rugosa
2926557,130,Glechoma hederacea
3092782,124,Euthamia graminifolia
7346080,122,Polygaloides paucifolia
6374864,118,Hepatica americana
2742342,118,Trillium erectum
2883094,117,Rhododendron maximum
2688379,115,Diphasiastrum digitatum
3132457,115,Erechtites hieraciifolius
3605467,114,Sitobolium punctilobum
2769457,110,Maianthemum racemosum
3171949,109,Verbascum thapsus
8324121,107,Trifolium pratense
3169169,106,Celastrus orbiculatus
5341297,105,Prunella vulgaris
3113414,105,Cirsium arvense
2926945,104,Clinopodium vulgare
3189836,103,Acer pensylvanicum
5357013,102,Lotus corniculatus
3152827,100,Hamamelis virginiana
3189866,98,Acer negundo
3034002,97,Sassafras albidum
5333230,97,Castanea dentata
2650903,96,Onoclea sensibilis
5365717,94,Potentilla indica
2882805,93,Epigaea repens
3114643,92,Carduus acanthoides
5389058,92,Solidago altissima
3152861,92,Liriodendron tulipifera
5334186,91,Chelidonium majus
3037021,90,Aralia nudicaulis
3120060,89,Achillea millefolium
5353583,89,Cercis canadensis
5275143,85,Dryopteris intermedia
8435025,84,Dipsacus fullonum
5414197,80,Comptonia peregrina
3189883,79,Acer rubrum
2873947,79,Asarum canadense
3169790,79,Apocynum cannabinum
2991466,79,Rubus occidentalis
5421389,78,Sarracenia purpurea
3033197,78,Aquilegia canadensis
8208358,78,Plantago lanceolata
2888584,77,Viburnum dilatatum
5275012,77,Pteridium aquilinum
2926682,76,Lamium purpureum
3169707,75,Vinca minor
5369800,75,Geum canadense
2742335,75,Trillium undulatum
3172077,74,Veronica persica
5389076,72,Solidago caesia
2994912,70,Rubus odoratus
5409120,70,Lobelia siphilitica
